"County Name","District Name","School Name",middle_school_sum
Salem,"Quinton Township School District","Quinton Township School",106
Burlington,"Riverside Township School District","Riverside Middle School",320
Burlington,"Riverside Township School District","Riverside Elementary School",117
Salem,"Salem City School District","Salem Middle School",301
Monmouth,"Sea Girt Borough School District","Sea Girt Elementary School",68
Gloucester,"South Harrison Township School District","South Harrison Elementary School",81
Burlington,"Southampton Township School District","Southampton Township School #3",246
Burlington,"Southampton Township School District","Southampton Township School #2",64
Ocean,"Southern Regional School District","Southern Regional Middle School",897
Ocean,"Stafford Township School District","Stafford Intermediate School",654
Ocean,"Stafford Township School District","Mckinley Avenue Elementary School",2
Sussex,"Sussex-Wantage Regional School District","Sussex Middle School",301
Sussex,"Sussex-Wantage Regional School District","Wantage Elementary School",138
Gloucester,"Swedesboro-Woolwich School District","General Charles G. Harker School",259
Gloucester,"Swedesboro-Woolwich School District","Walter Hill School",231
Ocean,"Toms River Regional School District","Toms River Intermediate School East",1245
Ocean,"Toms River Regional School District","Toms River Intermediate School South",979
Ocean,"Toms River Regional School District","Toms River Intermediate School North",973
Ocean,"Toms River Regional School District","Cedar Grove Elementary School",137
Ocean,"Toms River Regional School District","Hooper Avenue Elementary School",128
Ocean,"Toms River Regional School District","Walnut Street Elementary School",119
Ocean,"Toms River Regional School District","East Dover Elementary School",100
Ocean,"Toms River Regional School District","Silver Bay Elementary School",93
Ocean,"Toms River Regional School District","Pine Beach Elementary School",90
Ocean,"Toms River Regional School District","Joseph A. Citta Elementary School",76
Ocean,"Toms River Regional School District","Beachwood Elementary School",69
Ocean,"Toms River Regional School District","North Dover Elementary School",67
Ocean,"Toms River Regional School District","Washington Street Elementary School",66
Ocean,"Toms River Regional School District","West Dover Elementary School",63
Ocean,"Toms River Regional School District","South Toms River Elementary School",50
Ocean,"Tuckerton Borough School District","Tuckerton Elementary School",81
Hudson,"Union City School District","Emerson Middle School",732
Hudson,"Union City School District","Union Hill Middle School",599
Hudson,"Union City School District","George Washington Elementary School",306
Hudson,"Union City School District","Robert Waters Elementary School",298
Hudson,"Union City School District","Colin Powell Elementary School",248
Hudson,"Union City School District","Esther Salas Academy",242
Hudson,"Union City School District","Thomas A Edison Elementary School",229
Hudson,"Union City School District","Theodore Roosevelt Elementary School",228
Hudson,"Union City School District","Sara M. Gilmore Academy",210
Hudson,"Union City School District","Veterans' Memorial Elementary School",161
Hunterdon,"Union Township School District","Union Township Middle School",201
Cumberland,"Upper Deerfield Township School District","Woodruff Middle School",260
Cumberland,"Upper Deerfield Township School District","Elizabeth F. Moore School",105
Atlantic,"Ventnor City School District","Ventnor Middle School",187
Atlantic,"Ventnor City School District","Ventnor Elementary School",2
Camden,"Voorhees Township School District","Voorhees Middle School",992
Camden,"Voorhees Township School District","Edward T. Hamilton",86
Camden,"Voorhees Township School District","Osage School",82
Camden,"Voorhees Township School District","Signal Hill School",78
Camden,"Voorhees Township School District","Kresson School",70
Warren,"Warren Hills Regional School District","Warren Hills Regional Middle School",476
Camden,"Waterford Township School District","Waterford Elementary School",232
Gloucester,"West Deptford Township School District","West Deptford Middle School",851
Atlantic,"Weymouth Township School District","Weymouth Township School",64
Morris,"Wharton Borough School District","Alfred C. Mackinnon Middle School",249
Morris,"Wharton Borough School District","Marie V. Duffy Elementary School",84
"Cape May","Wildwood City School District","Wildwood Middle School",155
"Cape May","Wildwood City School District","Glenwood Avenue Elementary School",48
"Cape May","Wildwood Crest Borough School District","Crest Memorial School",88
Union,"Winfield Township","Winfield Township",54
Camden,"Winslow Township School District","Winslow Township Middle School",736
Camden,"Winslow Township School District","Winslow Township Elementary School Five",364
Camden,"Winslow Township School District","Winslow Township Elementary School Six",341
Camden,"Winslow Township School District","Winslow Township Elementary School One",1
Middlesex,"Woodbridge Township School District","Iselin Middle School",772
Middlesex,"Woodbridge Township School District","Fords Middle School",635
Middlesex,"Woodbridge Township School District","Avenel Middle School",628
Middlesex,"Woodbridge Township School District","Colonia Middle School",606
Middlesex,"Woodbridge Township School District","Woodbridge Middle School",481
Middlesex,"Woodbridge Township School District","Lafayette Estates Elementary School",137
Middlesex,"Woodbridge Township School District","Ross Street Elementary School",119
Middlesex,"Woodbridge Township School District","Avenel Street Elementary School",76
Middlesex,"Woodbridge Township School District","Matthew Jago Elementary School",70
Middlesex,"Woodbridge Township School District","Port Reading Avenue Elementary School",66
